"","Churn","Techie","Phone","Multiple","OnlineBackup","DeviceProtection","StreamingTV","StreamingMovies","Tenure","ContractMonth-to-month","ContractOne year","ContractTwo Year","InternetServiceDSL","InternetServiceFiber Optic","InternetServiceNone","PaymentMethodBank Transfer(automatic)","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check"
"1","No",0,1,0,1,0,0,1,-1.04869377389291,0,1,0,0,1,0,0,1,0,0
"2","Yes",1,1,1,0,0,1,1,-1.26193805762254,1,0,0,0,1,0,1,0,0,0
"3","No",1,1,1,0,0,0,1,-0.709904305418945,0,0,1,1,0,0,0,1,0,0
"4","No",1,1,0,0,0,1,0,-0.659490986860166,0,0,1,1,0,0,0,0,0,1
"5","No",0,1,1,1,1,0,1,-1.04092309275508,0,1,0,0,0,1,0,0,1,0
"6","Yes",1,1,0,0,0,1,1,-0.805103954010779,1,0,0,1,0,0,0,0,1,0
"7","Yes",1,0,0,1,0,0,0,-1.14441860851159,1,0,0,1,0,0,0,0,0,1
"8","No",0,1,0,1,0,0,0,-0.994797844893312,1,0,0,1,0,0,1,0,0,0
"9","No",0,1,0,0,1,0,1,-1.1762670000087,0,0,1,0,1,0,0,0,0,1
"10","No",0,1,1,1,0,1,0,-0.577048368523458,1,0,0,1,0,0,0,0,0,1
"11","No",0,1,0,0,1,1,0,-0.90776891525446,1,0,0,0,1,0,0,0,1,0
"12","No",0,1,0,0,0,1,0,-0.813623448259924,1,0,0,0,1,0,1,0,0,0
"13","Yes",0,0,1,1,0,0,0,-0.925232807257973,1,0,0,1,0,0,1,0,0,0
"14","Yes",0,1,1,1,1,0,1,-0.70884521856533,1,0,0,1,0,0,1,0,0,0
"15","Yes",0,1,0,0,1,1,1,-1.2185750670312,0,0,1,0,0,1,0,0,0,1
"16","No",1,1,0,1,1,1,0,-0.658631415473952,0,0,1,0,0,1,1,0,0,0
"17","Yes",0,1,1,0,0,1,0,-0.821388579057315,1,0,0,1,0,0,0,1,0,0
"18","No",0,1,0,1,1,0,1,-0.532172786347673,1,0,0,0,1,0,1,0,0,0
"19","No",0,1,0,0,1,0,0,-1.21431456568234,0,0,1,0,1,0,1,0,0,0
"20","No",0,1,0,0,0,0,0,-1.05410971065514,1,0,0,0,1,0,0,0,1,0
"21","No",0,1,0,0,0,1,0,-0.982581744605359,0,1,0,0,1,0,0,0,1,0
"22","Yes",0,1,1,0,1,0,1,-1.08746094339107,1,0,0,0,0,1,0,1,0,0
"23","Yes",0,1,0,0,1,1,1,-0.912168439682888,1,0,0,0,1,0,0,0,0,1
"24","Yes",0,1,1,1,1,1,1,-1.1004898945693,0,0,1,1,0,0,0,1,0,0
"25","No",0,0,0,1,0,1,1,-0.886558052962783,0,0,1,0,1,0,0,1,0,0
"26","No",0,1,1,1,0,0,0,-1.17006125836294,0,0,1,0,0,1,0,0,1,0
"27","Yes",0,1,0,1,0,1,1,-1.12690424863987,1,0,0,0,1,0,0,0,1,0
"28","Yes",0,1,1,1,0,1,0,-0.51533191975657,1,0,0,1,0,0,0,0,1,0
"29","Yes",0,1,1,0,1,1,1,-1.17440474147646,0,1,0,0,1,0,0,0,0,1
"30","Yes",0,1,1,1,0,0,0,-1.09849605139239,1,0,0,1,0,0,0,0,0,1
"31","Yes",0,1,1,1,1,0,1,-1.18039263142778,1,0,0,0,1,0,0,1,0,0
"32","No",0,1,1,0,1,0,0,-1.03485087735964,0,1,0,1,0,0,0,0,1,0
"33","No",0,1,0,1,1,1,0,-0.958527715277624,1,0,0,0,1,0,0,0,0,1
"34","No",0,1,0,0,0,0,0,-1.1921215173495,1,0,0,1,0,0,0,0,1,0
"35","Yes",0,1,1,0,0,1,1,-1.15727644951763,0,0,1,0,1,0,0,1,0,0
"36","No",0,1,1,0,0,0,1,-0.603810232681213,0,0,1,0,1,0,0,0,1,0
"37","Yes",0,1,1,0,0,1,1,-0.972950589637782,0,0,1,0,1,0,0,1,0,0
"38","Yes",0,1,1,1,1,1,1,-0.91323847118403,1,0,0,0,0,1,0,0,1,0
"39","Yes",0,1,0,1,0,0,1,-0.463967737058017,1,0,0,0,1,0,1,0,0,0
"40","Yes",1,1,1,1,1,0,0,-0.94917303497951,1,0,0,0,1,0,0,1,0,0
"41","No",0,1,0,0,0,1,0,-1.01220869920525,0,0,1,0,0,1,1,0,0,0
"42","No",0,1,0,0,0,0,0,-0.868159789992246,1,0,0,0,0,1,0,0,1,0
"43","Yes",0,1,1,0,1,0,1,-1.17922713821573,1,0,0,1,0,0,1,0,0,0
"44","Yes",0,1,0,0,1,1,1,-1.02814560246445,1,0,0,0,0,1,0,1,0,0
"45","No",0,1,0,0,1,1,0,-1.09819555590474,1,0,0,0,1,0,0,0,1,0
"46","Yes",1,1,1,0,0,1,0,-1.24695865759792,0,1,0,0,1,0,0,1,0,0
"47","Yes",0,1,1,0,1,0,0,-0.848861009546339,1,0,0,0,1,0,0,0,0,1
