"","Churn","Techie","Phone","Multiple","OnlineBackup","DeviceProtection","StreamingTV","StreamingMovies","Tenure","ContractMonth-to-month","ContractOne year","ContractTwo Year","InternetServiceDSL","InternetServiceFiber Optic","InternetServiceNone","PaymentMethodBank Transfer(automatic)","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check"
"1","Yes",0,0,0,0,0,1,0,-1.24248907260102,1,0,0,0,1,0,0,0,0,1
"2","No",0,1,1,0,0,1,0,-0.667357185375675,0,0,1,0,1,0,1,0,0,0
"3","Yes",0,1,0,0,0,1,1,-0.781156685538985,0,1,0,0,0,1,0,0,1,0
"4","Yes",0,1,0,0,0,0,0,-1.14844977216667,1,0,0,1,0,0,1,0,0,0
"5","Yes",0,1,0,1,1,1,0,-1.25302303127688,1,0,0,0,0,1,0,0,1,0
"6","Yes",1,1,0,0,1,1,1,-1.25158731437327,0,1,0,1,0,0,1,0,0,0
"7","No",0,1,0,1,0,0,1,-0.933274071576747,0,0,1,0,1,0,0,1,0,0
"8","No",0,1,0,1,1,0,0,-0.699017598230907,0,0,1,0,1,0,0,0,1,0
"9","No",0,1,0,0,1,0,0,-1.03212638333979,0,0,1,0,1,0,0,0,1,0
"10","No",0,1,0,1,0,0,1,-1.19710683651802,0,1,0,1,0,0,0,0,0,1
"11","Yes",1,1,1,1,0,1,1,-1.16457801506269,0,1,0,1,0,0,1,0,0,0
"12","Yes",0,1,0,0,0,1,1,-0.934008537711486,0,1,0,1,0,0,0,0,1,0
"13","No",0,1,0,0,0,1,0,-1.21650277511221,0,1,0,0,1,0,0,1,0,0
"14","No",0,1,0,1,0,0,0,-1.14869188262451,0,1,0,0,1,0,1,0,0,0
"15","Yes",0,0,0,1,1,1,1,-0.781728618155567,1,0,0,1,0,0,0,0,0,1
"16","Yes",0,1,0,0,0,0,1,-1.18562727058212,1,0,0,0,1,0,0,0,0,1
"17","No",1,1,0,1,0,1,0,-0.422795621510622,1,0,0,0,1,0,0,1,0,0
"18","No",1,1,1,0,1,0,0,-1.06698983043457,0,1,0,1,0,0,0,0,0,1
"19","Yes",0,1,1,1,1,1,1,-1.12417665354201,0,1,0,0,0,1,0,1,0,0
"20","No",1,1,0,1,0,0,0,-0.925742425610012,1,0,0,0,0,1,0,0,0,1
"21","No",0,1,0,0,1,1,1,-0.997223189373984,1,0,0,0,0,1,1,0,0,0
"22","Yes",0,1,0,0,1,0,1,-1.07556216088577,1,0,0,1,0,0,0,0,0,1
"23","No",0,1,0,0,0,0,0,-0.947063863482172,1,0,0,0,1,0,1,0,0,0
"24","No",0,1,1,1,0,0,1,-1.06493676435213,0,1,0,0,1,0,1,0,0,0
"25","Yes",1,1,1,0,1,1,0,-0.862601173274484,1,0,0,1,0,0,0,0,1,0
"26","Yes",0,1,1,1,0,1,0,-1.19648616295119,1,0,0,0,1,0,1,0,0,0
"27","Yes",0,1,1,1,0,1,1,-0.861811898208558,1,0,0,0,1,0,1,0,0,0
"28","Yes",0,1,1,1,0,0,1,-1.18237913184705,1,0,0,1,0,0,0,0,0,1
"29","No",0,1,0,0,0,1,1,-0.76655297130914,0,0,1,0,1,0,0,0,0,1
"30","No",1,1,0,1,0,1,0,-1.07991352428921,0,0,1,0,1,0,0,0,1,0
"31","No",0,1,1,0,0,0,0,-0.849092430546462,0,0,1,1,0,0,0,0,1,0
"32","Yes",0,1,1,1,1,0,1,-1.11265878285245,0,0,1,1,0,0,1,0,0,0
"33","No",0,1,0,0,1,0,0,-1.00006636106155,1,0,0,1,0,0,0,0,0,1
"34","Yes",0,1,0,0,1,1,1,-0.865117292187514,1,0,0,0,1,0,0,0,1,0
"35","No",0,1,0,1,0,1,0,-0.91781466047407,1,0,0,0,1,0,0,0,1,0
"36","Yes",0,1,1,1,0,0,1,-1.15848082748422,1,0,0,0,1,0,1,0,0,0
"37","Yes",0,1,0,0,0,1,1,-1.18364471683125,0,0,1,0,1,0,0,1,0,0
"38","No",0,1,0,1,0,0,1,-0.705263729108995,0,1,0,0,0,1,1,0,0,0
"39","No",0,1,0,0,0,1,0,-1.16362575864849,1,0,0,0,1,0,1,0,0,0
"40","No",0,1,0,0,0,1,0,-0.853283926499629,1,0,0,1,0,0,0,0,1,0
"41","No",0,1,0,0,0,1,0,-0.702522073158761,1,0,0,0,0,1,0,1,0,0
"42","No",1,1,1,1,1,1,0,-1.11825957619006,0,1,0,1,0,0,1,0,0,0
"43","Yes",0,1,1,0,0,0,1,-1.07742628088923,1,0,0,0,1,0,1,0,0,0
"44","No",0,1,1,0,1,0,0,-0.697927242684569,1,0,0,0,1,0,0,0,0,1
"45","Yes",1,0,1,0,1,1,0,-0.678171655091572,1,0,0,1,0,0,0,1,0,0
"46","Yes",0,1,0,0,0,1,1,-1.11729350881888,1,0,0,0,1,0,0,0,1,0
"47","No",0,1,1,1,0,0,0,-0.85169858214721,0,0,1,0,0,1,0,0,1,0
"48","Yes",0,1,0,1,1,1,1,-0.905879086882437,1,0,0,0,1,0,1,0,0,0
"49","No",0,1,0,0,0,1,0,-0.945187954980369,0,0,1,0,1,0,0,0,0,1
