"","Churn","Techie","Phone","Multiple","OnlineBackup","DeviceProtection","StreamingTV","StreamingMovies","Tenure","ContractMonth-to-month","ContractOne year","ContractTwo Year","InternetServiceDSL","InternetServiceFiber Optic","InternetServiceNone","PaymentMethodBank Transfer(automatic)","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check"
"1","No",0,1,0,1,0,0,1,6.795512947,0,1,0,0,1,0,0,1,0,0
"2","Yes",1,1,1,0,0,1,1,1.156680997,1,0,0,0,1,0,1,0,0,0
"3","No",1,1,1,0,0,0,1,15.75414408,0,0,1,1,0,0,0,1,0,0
"4","No",1,1,0,0,0,1,0,17.08722662,0,0,1,1,0,0,0,0,0,1
"5","Yes",0,0,0,0,0,1,0,1.670971726,1,0,0,0,1,0,0,0,0,1
"6","No",0,1,1,1,1,0,1,7.000993555,0,1,0,0,0,1,0,0,1,0
"7","Yes",1,1,0,0,0,1,1,13.23677381,1,0,0,1,0,0,0,0,1,0
"8","Yes",1,0,0,1,0,0,0,4.26425515,1,0,0,1,0,0,0,0,0,1
"9","No",0,1,0,1,0,0,0,8.220686373,1,0,0,1,0,0,1,0,0,0
"10","No",0,1,0,0,1,0,1,3.422086139,0,0,1,0,1,0,0,0,0,1
"11","No",0,1,1,1,0,1,0,19.26726194,1,0,0,1,0,0,0,0,0,1
"12","No",0,1,0,0,1,1,0,10.52199781,1,0,0,0,1,0,0,0,1,0
"13","No",0,1,0,0,0,1,0,13.01149229,1,0,0,0,1,0,1,0,0,0
"14","No",0,1,1,0,0,1,0,16.87922024,0,0,1,0,1,0,1,0,0,0
"15","Yes",0,0,1,1,0,0,0,10.06019902,1,0,0,1,0,0,1,0,0,0
"16","Yes",0,1,0,0,0,1,1,13.87001293,0,1,0,0,0,1,0,0,1,0
"17","Yes",0,1,1,1,1,0,1,15.78214958,1,0,0,1,0,0,1,0,0,0
"18","Yes",0,1,0,0,1,1,1,2.303331273,0,0,1,0,0,1,0,0,0,1
"19","No",1,1,0,1,1,1,0,17.10995632,0,0,1,0,0,1,1,0,0,0
"20","Yes",0,1,1,0,0,1,0,12.80615845,1,0,0,1,0,0,0,1,0,0
"21","No",0,1,0,1,1,0,1,20.45390977,1,0,0,0,1,0,1,0,0,0
"22","No",0,1,0,0,1,0,0,2.415991977,0,0,1,0,1,0,1,0,0,0
"23","No",0,1,0,0,0,0,0,6.652298992,1,0,0,0,1,0,0,0,1,0
"24","No",0,1,0,0,0,1,0,8.543717478,0,1,0,0,1,0,0,0,1,0
