"","Churn","Techie","Phone","Multiple","OnlineBackup","DeviceProtection","StreamingTV","StreamingMovies","Tenure","ContractMonth-to-month","ContractOne year","ContractTwo Year","InternetServiceDSL","InternetServiceFiber Optic","InternetServiceNone","PaymentMethodBank Transfer(automatic)","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check"
"1","No",0,1,0,1,0,0,1,6.795512947,0,1,0,0,1,0,0,1,0,0
"2","Yes",1,1,1,0,0,1,1,1.156680997,1,0,0,0,1,0,1,0,0,0
"3","No",1,1,0,0,0,1,0,17.08722662,0,0,1,1,0,0,0,0,0,1
"4","Yes",0,0,0,0,0,1,0,1.670971726,1,0,0,0,1,0,0,0,0,1
"5","No",0,1,1,1,1,0,1,7.000993555,0,1,0,0,0,1,0,0,1,0
"6","Yes",1,1,0,0,0,1,1,13.23677381,1,0,0,1,0,0,0,0,1,0
"7","No",0,1,0,0,1,0,1,3.422086139,0,0,1,0,1,0,0,0,0,1
"8","No",0,1,1,1,0,1,0,19.26726194,1,0,0,1,0,0,0,0,0,1
"9","No",0,1,0,0,1,1,0,10.52199781,1,0,0,0,1,0,0,0,1,0
"10","No",0,1,0,0,0,1,0,13.01149229,1,0,0,0,1,0,1,0,0,0
"11","Yes",0,0,1,1,0,0,0,10.06019902,1,0,0,1,0,0,1,0,0,0
"12","Yes",0,1,0,0,0,1,1,13.87001293,0,1,0,0,0,1,0,0,1,0
"13","Yes",0,1,1,1,1,0,1,15.78214958,1,0,0,1,0,0,1,0,0,0
"14","Yes",0,1,0,0,1,1,1,2.303331273,0,0,1,0,0,1,0,0,0,1
"15","No",1,1,0,1,1,1,0,17.10995632,0,0,1,0,0,1,1,0,0,0
"16","No",0,1,0,1,1,0,1,20.45390977,1,0,0,0,1,0,1,0,0,0
"17","No",0,1,0,0,1,0,0,2.415991977,0,0,1,0,1,0,1,0,0,0
"18","No",0,1,0,0,0,0,0,6.652298992,1,0,0,0,1,0,0,0,1,0
"19","No",0,1,0,0,0,1,0,8.543717478,0,1,0,0,1,0,0,0,1,0
"20","Yes",0,1,1,0,1,0,1,5.770390256,1,0,0,0,0,1,0,1,0,0
"21","Yes",0,1,0,0,0,0,0,4.157658837,1,0,0,1,0,0,1,0,0,0
"22","Yes",0,1,0,0,1,1,1,10.40566091,1,0,0,0,1,0,0,0,0,1
"23","Yes",0,1,0,1,1,1,0,1.392421597,1,0,0,0,0,1,0,0,1,0
"24","Yes",1,1,0,0,1,1,1,1.430386349,0,1,0,1,0,0,1,0,0,0
