"","Population","Area","Children","Age","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","Timely_response","Timely_fixes","Timely_replacements","Reliability","Options","Respectful","Courteous","Active_listening"
"1",11352,"Suburban",0,83,40074.19,"Separated","Male","Yes",8.147416533,16,2,1,"No","Month-to-month","Yes","No","Fiber Optic","No","No","No","No","No","Yes","Yes","No","No","Mailed Check",1.670971726,149.948316,271.4934362,4,4,4,3,4,4,4,5
"2",0,"Urban",5,29,115114.57,"Separated","Female","No",5.880565591,14,1,0,"No","Two Year","Yes","Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Bank Transfer(automatic)",16.87922024,184.971516,1948.694497,5,6,5,2,4,5,4,4
"3",2093,"Suburban",3,39,89061.45,"Divorced","Male","Yes",10.79846973,13,1,0,"No","One year","No","No","None","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Electronic Check",13.87001293,177.65076,1840.014467,3,3,3,2,4,3,5,2
"4",29568,"Suburban",1,77,12558.83,"Separated","Male","Yes",9.767668044,12,1,0,"No","Month-to-month","No","Yes","DSL","Yes","No","No","No","No","No","No","No","No","Bank Transfer(automatic)",4.157658837,92.455141,774.2937069,4,4,4,4,2,4,5,5
"5",5652,"Urban",0,70,43882.72,"Widowed","Female","Yes",14.73616645,12,0,0,"No","Month-to-month","Yes","No","None","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Electronic Check",1.392421597,139.981577,419.0508708,2,2,3,4,4,2,2,2
"6",1716,"Urban",3,20,10482.52,"Separated","Female","Yes",13.43558029,13,2,0,"Yes","One year","No","No","DSL","Yes","No","No","No","Yes","No","Yes","Yes","No","Bank Transfer(automatic)",1.430386349,200.132293,1259.415493,3,4,3,3,2,4,4,2
"7",20450,"Suburban",1,66,25397.44,"Divorced","Female","No",16.84100845,12,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Credit Card (automatic)",9.847563364,184.964681,1113.993679,4,4,3,4,2,4,4,5
"8",2123,"Suburban",1,72,50336.5,"Divorced","Male","No",7.972937227,10,1,1,"No","Two Year","Yes","No","Fiber Optic","Yes","No","No","Yes","Yes","No","No","No","No","Electronic Check",16.04202196,147.473844,1530.10769,3,4,3,6,4,4,6,2
"9",694,"Rural",0,49,29207.46,"Never Married","Female","No",8.425458142,9,1,0,"No","Two Year","No","No","Fiber Optic","Yes","No","No","No","Yes","No","No","No","Yes","Electronic Check",7.233605493,124.97808,676.712908,5,5,3,4,4,5,5,4
"10",3093,"Suburban",1,26,55319.23,"Never Married","Female","No",8.386280619,12,1,0,"No","One year","No","Yes","DSL","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Mailed Check",2.871017037,164.964681,1086.990308,5,5,4,4,3,4,4,4
"11",30225,"Rural",0,87,77996.88,"Divorced","Male","Yes",7.969277912,17,0,0,"Yes","One year","Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Bank Transfer(automatic)",3.7311787,255.119794,1268.086909,3,3,4,5,4,3,5,4
