"","Population","Area","Children","Age","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","Timely_response","Timely_fixes","Timely_replacements","Reliability","Options","Respectful","Courteous","Active_listening"
"1",38,"Urban",0,68,28561.99,"Widowed","Male","No",7.978322947,10,0,1,"No","One year","Yes","Yes","Fiber Optic","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Credit Card (automatic)",6.795512947,172.455519,904.5361102,5,5,5,3,4,4,3,4
"2",10446,"Urban",1,27,21704.77,"Married","Female","Yes",11.69907956,12,0,1,"Yes","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Bank Transfer(automatic)",1.156680997,242.632554,800.9827661,3,4,3,3,4,3,4,4
"3",3735,"Urban",4,50,9609.57,"Widowed","Female","No",10.75280028,9,0,1,"Yes","Two Year","Yes","No","DSL","Yes","Yes","No","No","No","No","No","Yes","Yes","Credit Card (automatic)",15.75414408,159.947583,2054.706961,4,4,2,4,4,3,3,3
"4",13863,"Suburban",1,48,18925.23,"Married","Male","No",14.91353964,15,2,0,"Yes","Two Year","No","No","DSL","Yes","No","Yes","No","No","No","Yes","No","Yes","Mailed Check",17.08722662,119.95684,2164.579412,4,4,4,2,5,4,3,3
"5",17701,"Urban",3,83,22660.2,"Never Married","Female","No",8.420992898,15,3,1,"No","One year","Yes","No","None","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Electronic Check",7.000993555,185.007692,1039.357983,3,3,3,2,4,3,3,3
"6",2535,"Suburban",0,79,11467.5,"Widowed","Male","Yes",11.18272453,10,0,1,"Yes","Month-to-month","No","No","DSL","Yes","No","No","No","No","Yes","Yes","Yes","No","Electronic Check",13.23677381,200.118516,1907.242972,6,5,6,4,1,5,5,5
"7",23144,"Suburban",2,30,26759.64,"Married","Female","Yes",7.791632265,16,0,0,"Yes","Month-to-month","No","No","DSL","No","No","No","Yes","No","No","No","No","Yes","Mailed Check",4.26425515,114.950905,979.6127078,2,2,2,5,2,3,4,5
"8",17351,"Suburban",2,49,58634.51,"Separated","Nonbinary","No",5.739005915,20,2,3,"No","Month-to-month","Yes","No","DSL","Yes","No","Yes","Yes","No","No","No","No","Yes","Bank Transfer(automatic)",8.220686373,117.468591,1312.874964,5,4,4,3,4,3,4,4
"9",20193,"Rural",1,86,50231.4,"Married","Female","No",8.707823904,18,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Mailed Check",3.422086139,162.482694,508.7637913,2,2,2,2,5,2,3,3
"10",555,"Urban",7,23,22580.7,"Separated","Female","No",9.341631685,9,0,2,"No","Month-to-month","No","No","DSL","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Mailed Check",19.26726194,174.958118,2728.767869,4,4,4,7,3,3,3,4
"11",33372,"Rural",2,56,18342.12,"Married","Female","No",6.68082638,17,1,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","Yes","No","Yes","No","No","Electronic Check",10.52199781,149.962093,1180.588788,4,4,3,4,4,4,3,4
"12",556,"Rural",0,83,83671.08,"Divorced","Male","No",8.273875452,9,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","No","No","Yes","No","No","Bank Transfer(automatic)",13.01149229,137.439154,1196.388018,1,2,1,4,3,2,3,3
"13",8165,"Urban",1,30,64256.81,"Separated","Male","Yes",11.79073041,10,3,0,"No","Month-to-month","No","No","DSL","No","Yes","No","Yes","No","Yes","No","No","Yes","Bank Transfer(automatic)",10.06019902,159.965581,1582.295235,3,3,4,2,3,4,4,2
