"","Churn","Techie","Phone","Multiple","OnlineBackup","DeviceProtection","StreamingTV","StreamingMovies","Tenure","ContractMonth-to-month","ContractOne year","ContractTwo Year","InternetServiceDSL","InternetServiceFiber Optic","InternetServiceNone","PaymentMethodBank Transfer(automatic)","PaymentMethodCredit Card (automatic)","PaymentMethodElectronic Check","PaymentMethodMailed Check"
"1","No",1,1,1,0,0,0,1,15.75414408,0,0,1,1,0,0,0,1,0,0
"2","Yes",1,0,0,1,0,0,0,4.26425515,1,0,0,1,0,0,0,0,0,1
"3","No",0,1,0,1,0,0,0,8.220686373,1,0,0,1,0,0,1,0,0,0
"4","No",0,1,1,0,0,1,0,16.87922024,0,0,1,0,1,0,1,0,0,0
"5","Yes",0,1,1,0,0,1,0,12.80615845,1,0,0,1,0,0,0,1,0,0
"6","Yes",0,1,1,1,1,1,1,5.425864884,0,0,1,1,0,0,0,1,0,0
"7","Yes",0,1,1,1,0,1,0,20.89923386,1,0,0,1,0,0,0,0,1,0
"8","Yes",0,1,1,1,1,0,1,3.312991809,1,0,0,0,1,0,0,1,0,0
"9","No",0,1,0,0,0,1,0,7.760290062,0,0,1,0,0,1,1,0,0,0
"10","Yes",1,1,1,0,0,1,0,1.55278221,0,1,0,0,1,0,0,1,0,0
"11","No",0,1,0,0,1,0,1,6.732948946,0,0,1,0,0,1,0,0,0,1
"12","No",0,1,0,0,1,0,0,7.233605493,0,0,1,0,1,0,0,0,1,0
"13","Yes",0,1,0,1,0,1,1,23.92132231,0,1,0,0,0,1,0,0,1,0
"14","No",0,1,0,1,0,0,1,20.13981517,0,0,1,1,0,0,1,0,0,0
"15","No",0,1,0,0,0,1,0,2.358129018,0,1,0,0,1,0,0,1,0,0
"16","Yes",0,1,1,1,1,0,0,19.75096265,0,0,1,1,0,0,0,0,1,0
"17","Yes",0,1,1,0,1,1,1,2.542296644,1,0,0,0,0,1,0,0,0,1
"18","Yes",0,0,1,0,0,0,1,14.76468813,1,0,0,1,0,0,1,0,0,0
"19","No",0,0,1,1,1,0,0,10.05306287,0,0,1,1,0,0,1,0,0,0
"20","No",0,1,1,1,1,0,0,8.447988841,0,0,1,0,1,0,0,0,1,0
"21","No",0,1,1,1,0,0,1,6.365998533,0,1,0,0,1,0,1,0,0,0
"22","No",0,1,1,1,1,1,0,7.251397592,0,1,0,1,0,0,1,0,0,0
"23","No",0,1,0,0,1,0,1,5.15825129,0,1,0,1,0,0,0,1,0,0
"24","Yes",0,1,1,1,1,1,0,2.733109234,1,0,0,0,1,0,1,0,0,0
"25","Yes",0,1,1,0,1,1,0,11.92299244,1,0,0,0,1,0,1,0,0,0
"26","Yes",1,1,0,0,1,1,1,10.87555535,0,0,1,0,0,1,0,0,0,1
"27","No",0,1,1,0,0,0,0,12.07358377,0,0,1,1,0,0,0,0,1,0
"28","Yes",0,1,1,0,1,1,0,15.50354683,1,0,0,1,0,0,0,0,0,1
"29","No",0,1,0,1,1,0,0,7.34059599,0,1,0,0,1,0,0,0,1,0
"30","No",0,1,0,1,1,1,0,5.522376826,0,0,1,0,1,0,0,1,0,0
"31","No",0,1,0,0,1,0,0,8.08137067,1,0,0,1,0,0,0,0,0,1
"32","No",0,1,0,1,0,1,0,10.25635754,1,0,0,0,1,0,0,0,1,0
"33","No",0,1,0,0,0,1,0,3.756359276,1,0,0,0,1,0,1,0,0,0
