Age,Income,Tenure,MonthlyCharge,Bandwidth_GB_Year
68,28561.99,6.795512947,172.455519,904.5361102
27,21704.77,1.156680997,242.632554,800.9827661
50,9609.57,15.75414408,159.947583,2054.706961
48,18925.23,17.08722662,119.95684,2164.579412
83,40074.19,1.670971726,149.948316,271.4934362
83,22660.2,7.000993555,185.007692,1039.357983
79,11467.5,13.23677381,200.118516,1907.242972
30,26759.64,4.26425515,114.950905,979.6127078
49,58634.51,8.220686373,117.468591,1312.874964
86,50231.4,3.422086139,162.482694,508.7637913
23,22580.7,19.26726194,174.958118,2728.767869
56,18342.12,10.52199781,149.962093,1180.588788
83,83671.08,13.01149229,137.439154,1196.388018
29,115114.57,16.87922024,184.971516,1948.694497
30,64256.81,10.06019902,159.965581,1582.295235
39,89061.45,13.87001293,177.65076,1840.014467
63,31659.3,15.78214958,194.966286,2070.376729
60,44142.81,2.303331273,202.682861,882.0985933
61,39262.14,17.10995632,152.490739,1833.0967
23,19494.75,12.80615845,149.944668,1954.080809
38,39624.21,20.45390977,184.978458,2330.319383
30,45714.47,2.415991977,127.495766,594.1054279
52,27442.03,6.652298992,124.964303,713.0633088
68,79699.62,8.543717478,149.948316,945.3802928
75,28520.32,5.770390256,162.511928,870.76398
77,12558.83,4.157658837,92.455141,774.2937069
47,8762.23,10.40566091,222.649979,1506.446527
70,43882.72,1.392421597,139.981577,419.0508708
20,10482.52,1.430386349,200.132293,1259.415493
69,33442.79,5.425864884,257.651257,1745.125956
45,43383.54,11.08287797,230.105118,1795.465729
40,21793.88,3.586184954,147.489301,492.4771472
82,51960.51,4.727388465,230.105118,1013.993166
74,25942.1,20.89923386,174.958118,2680.762173
69,11211.59,3.471329958,267.664655,1081.814362
52,8283.29,5.478588204,162.483267,1209.961168
26,10114.81,3.312991809,229.993134,897.5919144
25,36229.21,7.161561527,140.00128,1340.930156
66,25397.44,9.847563364,184.964681,1113.993679
72,50336.5,16.04202196,147.473844,1530.10769
21,38211.37,9.179779682,172.457857,1310.137419
55,52887.26,3.002844144,107.481989,892.8964931
41,12003.33,3.924254455,255.141716,1125.581944
32,24090.62,18.559596290000002,192.456745,2016.710031
22,15137.93,8.798394712,242.632554,1412.736809
44,54458.38,10.377366,245.174977,1710.689671
23,132116.33,22.25746016,184.964681,2384.885909
43,37358.13,9.427146079,195.006206,1213.940165
86,26534.16,7.760290062,104.962874,740.010722
84,76430.83,11.56938439,92.488023,897.9716153
62,4662.37,3.343811019,184.979684,1026.387172
68,43820.85,7.338869531,187.656013,1234.244324
59,38391.55,5.486534225,149.962093,727.3731845
31,44137.6,1.55278221,169.944668,452.8721504
51,14364.65,12.07970325,160.00128,1296.674543
58,62359.91,13.98666226,129.962093,1840.628269
73,82634.86,9.563362997,114.950905,1324.330108
33,15690.25,6.732948946,142.515576,958.1397059
58,14568.7,15.72071086,220.14775,1868.864027
49,29207.46,7.233605493,124.97808,676.712908
26,55319.23,2.871017037,164.964681,1086.990308
25,81831.49,2.344875382,194.976769,704.7540406
42,100076.65,7.960490246,152.455519,1416.444695
81,69965.65,12.25062113,92.5018,1095.950634
43,34883.69,9.634946079,127.488728,1083.610268
63,45634.2,7.916533093,184.963371,1570.641337
70,10964.73,4.471254161,265.146969,1007.425553
78,22365.28,10.79028074,207.609354,1323.028419
48,52636.6,12.24190682,152.462354,1808.730555
63,19048.13,2.203859443,200.132293,1120.241472
60,42784.82,23.92132231,212.655686,2676.789803
87,77996.88,3.7311787,255.119794,1268.086909
54,47507.3,7.980015371,134.950905,822.6771666
35,7724.73,9.190009376,255.137219,1577.915603
70,1509.52,2.378630018,214.966286,648.7471776
67,81124.71,5.43464555,270.160419,1648.102673
46,11795.57,1.092361222,200.165175,768.0874545
50,74794.84,20.13981517,149.937833,2426.030626
24,19038.78,24.64873861,240.114868,2660.503932
20,79167.77,9.677739656,127.495766,1129.549713
