"","Population","Area","Children","Age","Income","Marital","Gender","Churn","Outage_sec_perweek","Email","Contacts","Yearly_equip_failure","Techie","Contract","Port_modem","Tablet","InternetService","Phone","Multiple","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","PaperlessBilling","PaymentMethod","Tenure","MonthlyCharge","Bandwidth_GB_Year","Timely_response","Timely_fixes","Timely_replacements","Reliability","Options","Respectful","Courteous","Active_listening"
"1",38,"Urban",0,68,28561.99,"Widowed","Male","0",7.978322947,10,0,1,"0","One year","1","1","Fiber Optic","1","0","1","1","0","0","0","1","1","Credit Card (automatic)",6.795512947,172.455519,904.5361102,"5","5","5","3","4","4","3","4"
"2",3735,"Urban",4,50,9609.57,"Widowed","Female","0",10.75280028,9,0,1,"1","Two Year","1","0","DSL","1","1","0","0","0","0","0","1","1","Credit Card (automatic)",15.75414408,159.947583,2054.706961,"4","4","2","4","4","3","3","3"
"3",13863,"Suburban",1,48,18925.23,"Married","Male","0",14.91353964,15,2,0,"1","Two Year","0","0","DSL","1","0","1","0","0","0","1","0","1","Mailed Check",17.08722662,119.95684,2164.579412,"4","4","4","2","5","4","3","3"
"4",17351,"Suburban",2,49,58634.51,"Separated","Nonbinary","0",5.739005915,20,2,3,"0","Month-to-month","1","0","DSL","1","0","1","1","0","0","0","0","1","Bank Transfer(automatic)",8.220686373,117.468591,1312.874964,"5","4","4","3","4","3","4","4"
"5",20193,"Rural",1,86,50231.4,"Married","Female","0",8.707823904,18,1,0,"0","Two Year","1","0","Fiber Optic","1","0","1","0","1","0","0","1","1","Mailed Check",3.422086139,162.482694,508.7637913,"2","2","2","2","5","2","3","3"
"6",555,"Urban",7,23,22580.7,"Separated","Female","0",9.341631685,9,0,2,"0","Month-to-month","0","0","DSL","1","1","1","1","0","0","1","0","0","Mailed Check",19.26726194,174.958118,2728.767869,"4","4","4","7","3","3","3","4"
"7",556,"Rural",0,83,83671.08,"Divorced","Male","0",8.273875452,9,0,0,"0","Month-to-month","1","0","Fiber Optic","1","0","0","0","0","0","1","0","0","Bank Transfer(automatic)",13.01149229,137.439154,1196.388018,"1","2","1","4","3","2","3","3"
"8",14440,"Suburban",3,30,45714.47,"Divorced","Male","0",6.984819996,18,1,0,"0","Two Year","0","1","Fiber Optic","1","0","1","0","1","0","0","0","0","Bank Transfer(automatic)",2.415991977,127.495766,594.1054279,"5","5","4","4","3","4","3","5"
"9",11268,"Urban",9,45,43383.54,"Married","Male","0",6.613070806,14,0,0,"0","Two Year","1","0","Fiber Optic","0","0","0","1","0","0","1","1","1","Credit Card (automatic)",11.08287797,230.105118,1795.465729,"3","2","1","5","3","3","3","2"
"10",1765,"Rural",0,40,21793.88,"Never Married","Female","0",4.450171647,13,2,0,"0","Two Year","0","1","None","1","1","0","1","0","1","0","0","0","Electronic Check",3.586184954,147.489301,492.4771472,"2","3","4","3","3","2","4","3"
