STATE,NAME,Name_ID,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
1,Alabama,AL,5024294,5031864,5050380,5073903,5108468
2,Alaska,AK,733374,732964,734923,733276,733406
3,Arizona,AZ,7157902,7186683,7272487,7365684,7431344
4,Arkansas,AR,3011490,3014348,3028443,3046404,3067732
5,California,CA,39538212,39503200,39145060,39040616,38965193
6,Colorado,CO,5773707,5785219,5811596,5841039,5877610
7,Connecticut,CT,3605912,3577586,3603691,3608706,3617176
8,Delaware,DE,989946,991862,1004881,1019459,1031890
9,District of Columbia,DC,689548,670839,669037,670949,678972
10,Florida,FL,21538216,21591299,21830708,22245521,22610726
11,Georgia,GA,10713771,10732390,10790385,10913150,11029227
12,Hawaii,HI,1455274,1451181,1446745,1439399,1435138
13,Idaho,ID,1839117,1849339,1904537,1938996,1964726
14,Illinois,IL,12813469,12790357,12690341,12582515,12549689
15,Indiana,IN,6785442,6789098,6813798,6832274,6862199
16,Iowa,IA,3190427,3190904,3197944,3199693,3207004
17,Kansas,KS,2937835,2938124,2937946,2936716,2940546
18,Kentucky,KY,4506297,4508155,4507600,4511563,4526154
19,Louisiana,LA,4657785,4652022,4627047,4588023,4573749
20,Maine,ME,1363177,1364517,1378787,1389338,1395722
21,Maryland,MD,6177253,6173689,6175045,6163981,6180253
22,Massachusetts,MA,7032933,6997713,6991951,6982740,7001399
23,Michigan,MI,10077674,10070627,10038117,10033281,10037261
24,Minnesota,MN,5706804,5710578,5717968,5714300,5737915
25,Mississippi,MS,2961306,2958409,2949582,2938928,2939690
26,Missouri,MO,6154889,6154426,6170393,6177168,6196156
27,Montana,MT,1084244,1087211,1106366,1122878,1132812
28,Nebraska,NE,1961965,1963273,1964253,1968060,1978379
29,Nevada,NV,3104617,3115840,3146632,3177421,3194176
30,New Hampshire,NH,1377524,1378702,1387494,1399003,1402054
31,New Jersey,NJ,9289039,9272392,9269175,9260817,9290841
32,New Mexico,NM,2117525,2118488,2116950,2113476,2114371
33,New York,NY,20202320,20104710,19854526,19673200,19571216
34,North Carolina,NC,10439459,10453812,10567100,10695965,10835491
35,North Dakota,ND,779079,779563,777982,778912,783926
36,Ohio,OH,11799331,11798292,11765227,11759697,11785935
37,Oklahoma,OK,3959411,3965234,3991634,4019271,4053824
38,Oregon,OR,4237279,4245044,4256465,4239379,4233358
39,Pennsylvania,PA,13002788,12995477,13013614,12972091,12961683
40,Rhode Island,RI,1097371,1096444,1097092,1093842,1095962
41,South Carolina,SC,5118422,5132151,5193848,5282955,5373555
42,South Dakota,SD,886668,887852,896299,909869,919318
43,Tennessee,TN,6910786,6926091,6963709,7048976,7126489
44,Texas,TX,29145459,29234361,29561286,30029848,30503301
45,Utah,UT,3271614,3283982,3339284,3381236,3417734
46,Vermont,VT,643077,642936,647093,647110,647464
47,Virginia,VA,8631373,8637193,8657348,8679099,8715698
48,Washington,WA,7705267,7724566,7741433,7784477,7812880
49,West Virginia,WV,1793713,1791562,1785249,1774035,1770071
50,Wisconsin,WI,5893713,5896700,5879978,5890543,5910955
51,Wyoming,WY,576850,577664,579548,581629,584057
72,Puerto Rico,PR,3285874,3281557,3262693,3220113,3205691
